OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092CBV,2023-07-03T10:26:29.749920,15.44097722,.0038593,82.5509,251.2572,138.3043,222.1158,0,U,57275,999,1,.84383E-3,.39835E-3,0
COSMOS 1408 DEB,1982-092CBW,2023-07-02T22:54:51.915456,15.32239416,.0064682,82.5827,259.7061,127.9477,232.7635,0,U,57276,999,1,.84072E-3,.2805E-3,0
COSMOS 1408 DEB,1982-092CBX,2023-07-03T21:39:07.565760,15.45181166,.0037682,82.5604,251.4796,127.7226,232.7449,0,U,57277,999,1,.89775E-3,.43943E-3,0
COSMOS 1408 DEB,1982-092CBY,2023-06-30T22:51:48.191904,15.17589389,.0107525,82.5129,265.3733,163.3286,197.1529,0,U,57278,999,1,.7139E-3,.16739E-3,0
COSMOS 1408 DEB,1982-092CBZ,2023-06-29T12:30:33.536736,15.20858844,.01223,82.5593,274.3879,179.1489,180.9980,0,U,57279,999,1,.16352E-2,.44496E-3,0
COSMOS 1408 DEB,1982-092CCC,2023-07-06T23:20:31.873632,15.08969228,.0151047,82.5404,278.0936,214.1892,144.9543,0,U,57282,999,1,.21827E-2,.45328E-3,0
COSMOS 1408 DEB,1982-092CCD,2023-07-04T11:51:37.603872,15.41683237,.0038313,82.5634,249.2157,97.2533,263.3071,0,U,57283,999,1,.62242E-3,.2704E-3,0
COSMOS 1408 DEB,1982-092CCE,2023-06-29T22:51:40.549824,15.28945346,.0085733,82.5419,266.2295,169.5396,190.7655,0,U,57284,999,1,.15654E-2,.49442E-3,0
COSMOS 1408 DEB,1982-092CCF,2023-07-07T11:16:24.921696,15.35215643,.0043477,82.5818,249.9703,97.0867,263.5323,0,U,57285,999,1,.61769E-3,.21845E-3,0
COSMOS 1408 DEB,1982-092CCG,2023-07-06T23:30:40.458816,14.92410786,.0186622,82.5631,281.1462,225.2225,133.3689,0,U,57286,999,1,.48284E-3,.6981E-4,0
COSMOS 1408 DEB,1982-092CCH,2023-07-06T22:49:08.843520,15.17775450,.0126733,82.5778,267.2573,149.0686,211.8095,0,U,57287,999,1,.10999E-2,.2753E-3,0
